flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
2109252306,1412,False,2021-09-25T23:06:40.433,242.00761193876053,3424,B5.0,5.004426952837093e-07,B5,B10,B7,,,,,,2021-09-25T23:03:12.433,2021-09-25T23:26:44.435,1727,247.0,303,49.0,183,67.0,863,799.0,495,431.0
2109252204,216,False,2021-09-25T22:04:20.427,242.00761193876053,3423,B2.1,2.0600404582182819e-07,B2,B4,B3,,,,,,2021-09-25T22:03:20.427,2021-09-25T22:06:56.427,431,247.0,67,49.0,99,67.0,863,799.0,495,431.0
2109252139,124,False,2021-09-25T21:39:28.431,242.00761193876053,3422,B2.0,2.0092588215447904e-07,B2,B3,B2,,,,,,2021-09-25T21:38:12.431,2021-09-25T21:40:16.431,303,247.0,67,49.0,91,67.0,863,799.0,495,431.0
2109252113,140,False,2021-09-25T21:13:08.428,242.00761193876053,3421,B2.2,2.2137868427307694e-07,B2,B4,B3,,,,,,2021-09-25T21:12:00.428,2021-09-25T21:14:20.428,399,247.0,83,49.0,91,67.0,863,799.0,463,431.0
2109252058,428,False,2021-09-25T20:58:36.420,242.00761193876053,3420,B2.3,2.297030619047291e-07,B2,B3,B2,,,,,,2021-09-25T20:54:48.420,2021-09-25T21:01:56.421,335,247.0,67,49.0,83,67.0,863,799.0,543,431.0
2109252021,120,False,2021-09-25T20:21:44.416,242.00761193876053,3419,B1.9,1.9288859220978338e-07,B2,B3,B3,,,,,,2021-09-25T20:20:44.416,2021-09-25T20:22:44.417,367,247.0,75,49.0,83,67.0,863,799.0,495,431.0
2109251947,108,False,2021-09-25T19:47:04.413,242.00761193876053,3418,B1.9,1.8969143411595724e-07,B2,B3,B2,,,,,,2021-09-25T19:46:24.413,2021-09-25T19:48:12.413,303,247.0,67,49.0,75,67.0,863,799.0,463,431.0
2109251913,1316,False,2021-09-25T19:13:48.410,242.00761193876053,3417,C1.7,1.7193410712934565e-06,C1,C3,C2,,,,,,2021-09-25T19:09:40.409,2021-09-25T19:31:36.412,12799,247.0,1215,49.0,399,67.0,927,799.0,495,431.0
2109251904,220,False,2021-09-25T19:04:04.408,242.00761193876053,3416,B1.9,1.943542855542546e-07,B2,B3,B3,,,,,,2021-09-25T19:01:48.408,2021-09-25T19:05:28.409,367,247.0,75,49.0,91,67.0,927,799.0,495,431.0
2109251826,124,False,2021-09-25T18:26:40.405,243.1949641894677,3415,B2.0,1.9529996109213243e-07,B2,B3,B2,,,,,,2021-09-25T18:25:32.405,2021-09-25T18:27:36.405,335,247.0,67,49.0,91,67.0,863,799.0,495,431.0
